# Portcard 		 FEC 	 tkFEC 		 ring 	 ccu 	 I2C_channel 	 Module 			 POH 	 module_channel 	 FED
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD2		 A1 	 3 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD2		 A2 	 3 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD2		 B1 	 4 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD2		 B2 	 4 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1F_MOD2		 A1 	 2 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1F_MOD2		 A2 	 2 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1F_MOD2		 B1 	 1 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1F_MOD2		 B2 	 1 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD3		 A1 	 12 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD3		 A2 	 12 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD3		 B1 	 11 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR1_LDR1H_MOD3		 B2 	 11 			 1260
